# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.100       1.90  DE BILT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TG
# 
  260,20160212,   27
  260,20160213,   18
  260,20160214,   14
  260,20160215,   23
  260,20160216,   -3
  260,20160217,  -13
  260,20160218,   13
  260,20160219,   39
  260,20160220,   82
  260,20160221,  104
  260,20160222,   68
  260,20160223,   43
  260,20160224,   23
  260,20160225,   18
  260,20160226,   21
  260,20160227,   22
  260,20160228,   22
  260,20160229,   13
  260,20160301,   20
  260,20160302,   53
  260,20160303,   39
  260,20160304,   10
  260,20160305,    5
  260,20160306,   30
  260,20160307,   25
  260,20160308,   36
  260,20160309,   44
  260,20160310,   41
  260,20160311,   32
  260,20160312,   31
  260,20160313,   39
  260,20160314,   41
  260,20160315,   46
  260,20160316,   44
  260,20160317,   57
  260,20160318,   52
  260,20160319,   62
  260,20160320,   68
  260,20160321,   72
  260,20160322,   76
  260,20160323,   76
  260,20160324,   79
  260,20160325,   65
  260,20160326,   95
  260,20160327,   91
  260,20160328,   97
  260,20160329,   78
  260,20160330,   81
  260,20160331,   76
  260,20160401,   72
